sender,receiver,metabolite,hmdb_id,sensor_gene,sensor_type,metabolite_availability,sensor_score,cell_mesh_score,perm_pvalue,fdr,confidence_tier,sender_n_cells,receiver_n_cells,sensor_expr_frac
Stromal cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,NR3C2,Other receptor,0.0,0.6767170168880723,0.0,1.0,1.0,Tier3_exploratory,68,68,0.11764705882352941
Immune cells,Stromal cells,17-Hydroxyprogesterone,HMDB0000374,NR3C2,Other receptor,0.0,0.6767170168880723,0.0,1.0,1.0,Tier3_exploratory,48,68,0.11764705882352941
Malignant cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,NR3C2,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,48,0.0
Malignant cells,Immune cells,11beta-Hydroxyprogesterone,HMDB0004031,NR3C2,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,84,48,0.0
Malignant cells,Immune cells,17alpha-Estradiol,HMDB0000429,ESR1,Other receptor,0.06367507365660756,0.0,0.0,1.0,1.0,Tier3_exploratory,84,48,0.020833333333333332
Stromal cells,Immune cells,17alpha-Estradiol,HMDB0000429,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,48,0.020833333333333332
Immune cells,Immune cells,17alpha-Estradiol,HMDB0000429,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,48,0.020833333333333332
Malignant cells,Malignant cells,16a-Hydroxyestrone,HMDB0000335,ESR1,Other receptor,0.6550234033063062,0.0,0.0,1.0,1.0,Tier3_exploratory,84,84,0.03571428571428571
Stromal cells,Malignant cells,16a-Hydroxyestrone,HMDB0000335,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,84,0.03571428571428571
Immune cells,Malignant cells,16a-Hydroxyestrone,HMDB0000335,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,48,84,0.03571428571428571
Malignant cells,Stromal cells,16a-Hydroxyestrone,HMDB0000335,ESR1,Other receptor,0.6550234033063062,0.0,0.0,1.0,1.0,Tier3_exploratory,84,68,0.029411764705882353
Stromal cells,Stromal cells,16a-Hydroxyestrone,HMDB0000335,ESR1,Other receptor,0.0,0.0,0.0,1.0,1.0,Tier3_exploratory,68,68,0.029411764705882353
Malignant cells,Immune cells,17-Hydroxyprogesterone,HMDB0000374,ESR1,Other receptor,0.7114411096565488,0.0,0.0,1.0,1.0,Tier3_exploratory,84,48,0.020833333333333332
Malignant cells,Immune cells,16a-Hydroxyestrone,HMDB0000335,ESR1,Other receptor,0.6550234033063062,0.0,0.0,1.0,1.0,Tier3_exploratory,84,48,0.020833333333333332
